Date,Open,High,Low,Close,Adj Close,Volume
9/22/20,4.986754,11.463443,4.12538,5.234632,5.234632,288098840
9/23/20,5.321654,5.32931,3.982604,4.118469,4.118469,173091214
9/24/20,3.817925,4.751878,3.539887,4.566561,4.566561,96110964
9/25/20,4.614028,4.958673,4.240798,4.712279,4.712279,55854397
9/26/20,4.713736,4.817752,4.376774,4.539249,4.539249,27304546
9/27/20,4.535289,4.695472,4.138012,4.625536,4.625536,23243192
9/28/20,4.636009,4.642367,4.204803,4.204803,4.204803,20624310
9/29/20,4.205906,4.280641,3.970662,4.142951,4.142951,16706917
9/30/20,4.143293,4.392278,4.015056,4.322546,4.322546,16932876
10/1/20,4.324279,4.493292,4.059294,4.15109,4.15109,23903201
10/2/20,4.149604,4.206492,3.693852,3.927156,3.927156,30467406
10/3/20,3.925748,4.166156,3.880239,4.02166,4.02166,11967394
10/4/20,4.022983,4.065016,3.855817,3.96111,3.96111,12949575
10/5/20,3.960586,4.036362,3.886123,3.97802,3.97802,8980051
10/6/20,3.982504,3.982504,3.519102,3.537658,3.537658,15048998
10/7/20,3.538809,3.54298,3.230266,3.446818,3.446818,15674566
10/8/20,3.448156,3.925564,3.342425,3.904279,3.904279,15215458
10/9/20,3.911574,4.279157,3.818817,4.235305,4.235305,13043373
10/10/20,4.241963,4.250989,4.016294,4.026705,4.026705,14539711
10/11/20,4.022435,4.158483,3.970839,4.095879,4.095879,11454885
10/12/20,4.092503,4.686799,4.051722,4.41574,4.41574,14445437
10/13/20,4.41315,4.541392,4.334646,4.488054,4.488054,14050398
10/14/20,4.483894,4.485448,4.022536,4.150056,4.150056,10004481
10/15/20,4.152928,4.213541,4.01629,4.127353,4.127353,6998970
10/16/20,4.127866,4.155393,3.887011,4.04048,4.04048,9790610
10/17/20,4.038541,4.196009,3.976694,4.196009,4.196009,6113717
10/18/20,4.192323,4.246367,4.083952,4.116062,4.116062,3717531
10/19/20,4.117765,4.160939,3.997867,4.050311,4.050311,5848392
10/20/20,4.053504,4.08161,3.714379,3.802201,3.802201,19646467
10/21/20,3.800439,4.108505,3.794334,3.965959,3.965959,23475819
10/22/20,3.971725,4.498044,3.962153,4.314421,4.314421,24178361
10/23/20,4.330929,4.486894,4.149672,4.262106,4.262106,19482074
10/24/20,4.262106,4.35266,4.16198,4.1897,4.1897,16681037
10/25/20,4.1897,4.257972,4.105395,4.15321,4.15321,15517939
10/26/20,4.15321,4.479071,4.049678,4.160973,4.160973,9243755
10/27/20,4.160973,4.349709,4.043659,4.122243,4.122243,17600881
10/28/20,4.122243,4.177805,3.935027,4.066606,4.066606,19435211
10/29/20,4.066606,4.106396,3.733383,3.775312,3.775312,6527859
10/30/20,3.775312,3.819172,3.580127,3.714938,3.714938,28434550
10/31/20,3.714938,3.743536,3.585136,3.648368,3.648368,20452535
11/1/20,3.648368,3.716676,3.555984,3.682664,3.682664,15953277
11/2/20,3.682664,3.854503,3.614397,3.623915,3.623915,20039697
11/3/20,3.623915,3.655554,3.242257,3.332747,3.332747,24573095
11/4/20,3.332747,3.376659,3.002888,3.184633,3.184633,20709819
11/5/20,3.184633,3.377098,3.022843,3.358205,3.358205,26135754
11/6/20,3.358205,3.645242,3.318024,3.595282,3.595282,33947029
11/7/20,3.595282,3.907106,3.382676,3.403408,3.403408,34653203
11/8/20,3.403408,3.650816,3.368068,3.476598,3.476598,26072941
11/9/20,3.476598,3.539321,3.265887,3.417125,3.417125,25509378
11/10/20,3.417125,3.64052,3.369728,3.586142,3.586142,24316551
11/11/20,3.586142,3.810148,3.4572,3.484356,3.484356,24727644
11/12/20,3.484356,3.560577,3.319769,3.429143,3.429143,25090677
11/13/20,3.429143,3.697817,3.391807,3.697801,3.697801,27584233
11/14/20,3.697801,3.697801,3.403674,3.500485,3.500485,24359587
11/15/20,3.500485,3.642452,3.422898,3.53658,3.53658,22702610
11/16/20,3.53658,3.816524,3.45912,3.716656,3.716656,27372174
11/17/20,3.788714,3.915112,3.698242,3.831768,3.831768,23031677
11/18/20,3.831768,3.871043,3.575699,3.748681,3.748681,20818649
11/19/20,3.748681,3.816442,3.570697,3.627004,3.627004,21489339
11/20/20,3.627004,3.987024,3.624535,3.710605,3.710605,27416995
11/21/20,3.710605,4.083803,3.692361,4.001856,4.001856,25984283
11/22/20,4.001856,4.05805,3.716793,3.889969,3.889969,25963010
11/23/20,3.889969,4.254518,3.848123,4.068428,4.068428,9013817
11/24/20,4.068523,4.327888,3.87028,4.266966,4.266966,30722083
11/25/20,4.267713,4.400343,3.933892,4.049503,4.049503,28505942
11/26/20,4.049992,4.08481,3.302878,3.52771,3.52771,35408249
11/27/20,3.526707,3.763903,3.425879,3.592152,3.592152,6023810
11/28/20,3.589427,3.697806,3.480224,3.624503,3.624503,17509244
11/29/20,3.624608,3.767205,3.532624,3.704312,3.704312,3901221
11/30/20,3.704346,3.813839,3.645647,3.686424,3.686424,21457284
12/1/20,3.686461,3.816161,3.492484,3.579318,3.579318,24719236
12/2/20,3.579347,3.84222,3.529019,3.731418,3.731418,5085526
12/3/20,3.736139,3.894949,3.717646,3.821922,3.821922,21038215
12/4/20,3.82194,3.860148,3.518849,3.551129,3.551129,23754809
12/5/20,3.538394,3.711921,3.508541,3.615126,3.615126,21215020
12/6/20,3.615132,3.675857,3.509108,3.599609,3.599609,20224612
12/7/20,3.599663,3.609886,3.325592,3.392123,3.392123,16909346
12/8/20,3.39242,3.39242,3.096467,3.112555,3.112555,23027417
12/9/20,3.111567,3.399476,2.808724,3.261969,3.261969,28583037
12/10/20,3.261588,3.345826,3.070856,3.15269,3.15269,29252855
12/11/20,3.152864,3.305008,3.014926,3.235806,3.235806,29224480
12/12/20,3.232655,3.451851,3.231008,3.334231,3.334231,24630224
12/13/20,3.334768,3.410037,3.293291,3.331057,3.331057,20722255
12/14/20,3.330365,3.342179,3.136351,3.140347,3.140347,27242747
12/15/20,3.141436,3.379336,3.061389,3.299948,3.299948,18320578
12/16/20,3.299802,3.3738,3.15138,3.344162,3.344162,21054734
12/17/20,3.343727,3.377374,3.179822,3.209255,3.209255,10227874
12/18/20,3.209613,3.469288,3.141923,3.404798,3.404798,23107656
12/19/20,3.405378,3.610322,3.380227,3.469613,3.469613,19919598
12/20/20,3.469663,3.495378,3.285854,3.311469,3.311469,18750351
12/21/20,3.311456,3.351082,3.033683,3.097619,3.097619,25892571
12/22/20,3.094121,3.128812,2.924834,3.082421,3.082421,23991868
12/23/20,3.082427,3.620084,2.79621,2.916323,2.916323,50329367
12/24/20,2.930465,3.111959,2.789799,3.098723,3.098723,29820498
12/25/20,3.097413,3.126981,2.858229,2.95471,2.95471,26360909
12/26/20,2.955119,2.988567,2.853384,2.91827,2.91827,21332105
12/27/20,2.918269,3.050767,2.848074,2.906161,2.906161,24533711
12/28/20,2.905293,3.046745,2.866661,2.947435,2.947435,27088075
12/29/20,2.947437,3.006633,2.835506,2.924666,2.924666,25386162
12/30/20,2.925294,2.939915,2.833326,2.922409,2.922409,17031663
12/31/20,2.922048,3.190903,2.788822,3.135609,3.135609,18953615
1/1/21,3.153535,3.873537,3.054542,3.664823,3.664823,81260736
1/2/21,3.662164,3.937007,3.299263,3.49494,3.49494,50081958
1/3/21,3.494292,3.82609,3.396842,3.472944,3.472944,36997985
1/4/21,3.473519,3.83196,3.250402,3.590243,3.590243,39414734
1/5/21,3.59067,4.343222,3.485492,4.237412,4.237412,69735075
1/6/21,4.233969,4.971324,4.155298,4.620357,4.620357,77632627
1/7/21,4.60581,4.808977,4.347032,4.476613,4.476613,53715138
1/8/21,4.475872,5.813029,4.054746,5.79711,5.79711,100707264
1/9/21,5.766708,7.459085,5.621013,7.218531,7.218531,162227415
1/10/21,7.216229,7.501712,6.191732,6.586496,6.586496,96243972
1/11/21,6.579785,6.986017,5.775503,6.494089,6.494089,101394969
1/12/21,6.487615,8.198621,6.457987,7.7827,7.7827,157738757
1/13/21,7.757137,8.478569,7.186762,8.466815,8.466815,107370548
1/14/21,8.464189,9.527691,8.228603,9.261315,9.261315,154674301
1/15/21,9.270429,9.85564,8.633324,9.380012,9.380012,123418249
1/16/21,9.386836,13.35924,9.169473,12.877918,12.877918,302897986
1/17/21,12.868456,14.382868,12.400223,13.202684,13.202684,303643624
1/18/21,13.179217,13.834187,12.681751,12.701574,12.701574,144213432
1/19/21,12.712359,13.331988,11.62126,11.790321,11.790321,147387064
1/20/21,11.791474,12.998588,11.079718,12.411565,12.411565,143245334
1/21/21,12.41855,12.990006,11.14711,11.310116,11.310116,166420741
1/22/21,11.301277,13.380753,10.720327,12.718836,12.718836,190313148
1/23/21,12.707362,13.479141,12.562528,12.877226,12.877226,140727865
1/24/21,12.87248,13.164893,12.275842,12.46392,12.46392,105137518
1/25/21,12.459662,12.928799,12.081398,12.224095,12.224095,89612475
1/26/21,12.222854,12.716865,11.48374,12.17289,12.17289,117575609
1/27/21,12.179483,12.22419,10.835764,11.184797,11.184797,97215395
1/28/21,11.187371,12.684061,10.903341,12.00027,12.00027,115201839
1/29/21,12.022983,12.606816,11.376974,11.621697,11.621697,146529369
1/30/21,11.616053,12.625574,11.312639,11.984419,11.984419,112936218
1/31/21,11.997275,15.224376,11.85807,13.516318,13.516318,351069270
2/1/21,13.519383,13.519383,12.638041,13.22777,13.22777,149280612
2/2/21,13.235482,13.670383,12.805489,13.515045,13.515045,91074992
2/3/21,13.507195,14.904875,13.201002,14.805049,14.805049,144515018
2/4/21,14.799271,15.813543,13.982809,15.368177,15.368177,180318628
2/5/21,15.348532,17.996988,15.220497,17.913799,17.913799,196730774
2/6/21,17.909731,18.544561,16.036652,17.976021,17.976021,192597459
2/7/21,18.020672,24.210279,18.000345,24.207178,24.207178,545865729
2/8/21,24.044641,33.306023,23.669598,30.275328,30.275328,894521369
2/9/21,30.255909,32.972588,27.572586,31.598886,31.598886,445128059
2/10/21,31.599627,59.939838,31.599627,55.298477,55.298477,2235807129
2/11/21,54.933861,56.263878,42.22794,47.370319,47.370319,856224806
2/12/21,47.15752,54.392506,43.774189,48.656181,48.656181,688788872
2/13/21,48.657524,51.917896,43.491493,43.787148,43.787148,380032573
2/14/21,43.766739,44.543823,38.328674,38.575954,38.575954,472803313
2/15/21,38.545528,43.987274,33.832111,38.176502,38.176502,492075708
2/16/21,38.159122,39.490463,35.285011,36.336075,36.336075,360245755
2/17/21,36.40126,41.205078,34.224567,37.052147,37.052147,417547992
2/18/21,37.055477,43.696243,36.020283,41.015091,41.015091,433522043
2/19/21,41.040829,41.210419,38.001411,38.751457,38.751457,319733162
2/20/21,38.769707,42.751598,32.889351,36.233868,36.233868,468606771
2/21/21,36.101547,37.932781,35.151634,36.147972,36.147972,213433308
2/22/21,36.145779,36.258865,26.933208,32.279057,32.279057,341397482
