Date,Open,High,Low,Close,Adj Close,Volume
7/10/21,0.000004,0.000006,0.000004,0.000004,0.000004,3629950
7/11/21,0.000004,0.000005,0.000003,0.000004,0.000004,2269416
7/12/21,0.000004,0.000004,0.000003,0.000003,0.000003,1697527
7/13/21,0.000003,0.000003,0.000002,0.000002,0.000002,1417407
7/14/21,0.000002,0.000003,0.000001,0.000002,0.000002,1308053
7/15/21,0.000002,0.000003,0.000002,0.000002,0.000002,892408
7/16/21,0.000002,0.000002,0.000001,0.000002,0.000002,528189
7/17/21,0.000002,0.000002,0.000001,0.000002,0.000002,478075
7/18/21,0.000002,0.000002,0.000001,0.000002,0.000002,320260
7/19/21,0.000002,0.000002,0.000001,0.000002,0.000002,483689
7/20/21,0.000002,0.000004,0.000001,0.000003,0.000003,1166793
7/21/21,0.000003,0.000004,0.000003,0.000003,0.000003,1978120
7/22/21,0.000003,0.000004,0.000003,0.000004,0.000004,748888
7/23/21,0.000004,0.000005,0.000003,0.000003,0.000003,1179948
7/24/21,0.000003,0.000004,0.000003,0.000003,0.000003,726909
7/25/21,0.000003,0.000004,0.000003,0.000003,0.000003,707549
7/26/21,0.000003,0.000004,0.000003,0.000003,0.000003,1192430
7/27/21,0.000003,0.000003,0.000003,0.000003,0.000003,804178
7/28/21,0.000003,0.000003,0.000003,0.000003,0.000003,553809
7/29/21,0.000003,0.000004,0.000003,0.000004,0.000004,1190744
7/30/21,0.000004,0.000006,0.000004,0.000005,0.000005,1859454
7/31/21,0.000005,0.000006,0.000004,0.000005,0.000005,1312664
8/1/21,0.000005,0.000006,0.000004,0.000005,0.000005,1224074
8/2/21,0.000005,0.000008,0.000005,0.000007,0.000007,2651776
8/3/21,0.000007,0.000007,0.000004,0.000004,0.000004,2458900
8/4/21,0.000004,0.000006,0.000004,0.000005,0.000005,1717839
8/5/21,0.000005,0.000005,0.000004,0.000005,0.000005,1093163
8/6/21,0.000005,0.000005,0.000004,0.000005,0.000005,746151
8/7/21,0.000005,0.000006,0.000004,0.000005,0.000005,777999
8/8/21,0.000005,0.000005,0,0,0,1690729
8/9/21,0,0.000006,0,0.000006,0.000006,577508
8/10/21,0.000006,0.000007,0.000006,0.000007,0.000007,576757
8/11/21,0.000007,0.000007,0.000006,0.000006,0.000006,651147
8/12/21,0.000006,0.000006,0.000005,0.000005,0.000005,982846
8/13/21,0.000005,0.000006,0.000005,0.000006,0.000006,1011276
8/14/21,0.000006,0.000007,0.000006,0.000006,0.000006,906538
8/15/21,0.000006,0.000006,0.000005,0.000006,0.000006,1087556
8/16/21,0.000006,0.000006,0.000005,0.000005,0.000005,1050504
8/17/21,0.000005,0.000006,0.000005,0.000005,0.000005,776136
8/18/21,0.000005,0.000005,0.000005,0.000005,0.000005,577554
8/19/21,0.000005,0.000005,0.000005,0.000005,0.000005,593876
8/20/21,0.000005,0.000005,0.000005,0.000005,0.000005,610836
8/21/21,0.000005,0.000005,0.000004,0.000005,0.000005,727093
8/22/21,0.000005,0.000006,0.000004,0.000005,0.000005,768056
8/23/21,0.000005,0.000006,0.000005,0.000005,0.000005,729697
8/24/21,0.000005,0.000005,0.000004,0.000004,0.000004,657620
8/25/21,0.000004,0.000005,0.000004,0.000005,0.000005,773524
8/26/21,0.000005,0.000006,0.000004,0.000006,0.000006,1834172
8/27/21,0.000006,0.000006,0.000006,0.000006,0.000006,1562517
8/28/21,0.000006,0.000008,0.000006,0.000008,0.000008,1664133
8/29/21,0.000008,0.000013,0.000008,0.000011,0.000011,4856274
8/30/21,0.000011,0.000012,0.000011,0.000011,0.000011,3655937
8/31/21,0.000011,0.000018,0.000011,0.000018,0.000018,4857524
9/1/21,0.000018,0.000026,0.000017,0.000024,0.000024,11637726
9/2/21,0.000024,0.000024,0.000013,0.000014,0.000014,11903191
9/3/21,0.000014,0.000019,0.000013,0.000019,0.000019,7093243
9/4/21,0.000019,0.00002,0.000016,0.00002,0.00002,3992161
9/5/21,0.00002,0.000022,0.000019,0.00002,0.00002,3880482
9/6/21,0.00002,0.00002,0.000018,0.000018,0.000018,2796823
9/7/21,0.000018,0.000018,0.000013,0.000014,0.000014,3589648
9/8/21,0.000014,0.000015,0.000012,0.000014,0.000014,3409932
9/9/21,0.000014,0.000014,0.000012,0.000014,0.000014,2299571
