Date,Open,High,Low,Close,Adj Close,Volume
8/1/20,0,0,0,0,0,1604789
8/2/20,0,0,0,0,0,193098
8/3/20,0,0,0,0,0,129225
8/4/20,0,0,0,0,0,19717
8/5/20,0,0,0,0,0,26869
8/6/20,0,0,0,0,0,8708
8/7/20,0,0,0,0,0,17529
8/8/20,0,0,0,0,0,13773
8/9/20,0,0,0,0,0,5190
8/10/20,0,0,0,0,0,6105
8/11/20,0,0,0,0,0,2896
8/12/20,0,0,0,0,0,1868
8/13/20,0,0,0,0,0,1723
8/14/20,0,0,0,0,0,3567
8/15/20,0,0,0,0,0,1479
8/16/20,0,0,0,0,0,506
8/17/20,0,0,0,0,0,543
8/18/20,0,0,0,0,0,153
8/19/20,0,0,0,0,0,3411
8/20/20,0,0,0,0,0,2058
8/21/20,0,0,0,0,0,4894
8/22/20,0,0,0,0,0,8019
8/23/20,0,0,0,0,0,763
8/24/20,0,0,0,0,0,32
8/25/20,0,0,0,0,0,377
8/26/20,0,0,0,0,0,595
8/27/20,0,0,0,0,0,2404
8/28/20,0,0,0,0,0,7426
8/29/20,0,0,0,0,0,4191
8/30/20,0,0,0,0,0,40609
8/31/20,0,0,0,0,0,6653
9/1/20,0,0,0,0,0,16378
9/2/20,0,0,0,0,0,61769
9/3/20,0,0,0,0,0,70619
9/4/20,0,0,0,0,0,36623
9/5/20,0,0,0,0,0,12080
9/6/20,0,0,0,0,0,15529
9/7/20,0,0,0,0,0,5673
9/8/20,0,0,0,0,0,4343
9/9/20,0,0,0,0,0,2993
9/10/20,0,0,0,0,0,656
9/11/20,0,0,0,0,0,79
9/12/20,0,0,0,0,0,728
9/13/20,0,0,0,0,0,697
9/14/20,0,0,0,0,0,883
9/15/20,0,0,0,0,0,429
9/16/20,0,0,0,0,0,101
9/17/20,0,0,0,0,0,1301
9/18/20,0,0,0,0,0,290
9/19/20,0,0,0,0,0,3568
9/20/20,0,0,0,0,0,2796
9/21/20,0,0,0,0,0,1881
9/22/20,0,0,0,0,0,468
9/23/20,0,0,0,0,0,505
9/24/20,0,0,0,0,0,172
9/25/20,0,0,0,0,0,206
9/26/20,0,0,0,0,0,249
9/27/20,0,0,0,0,0,2378
9/28/20,0,0,0,0,0,640
9/29/20,0,0,0,0,0,250
9/30/20,0,0,0,0,0,512
10/1/20,0,0,0,0,0,305
10/2/20,0,0,0,0,0,8948
10/3/20,0,0,0,0,0,9065
10/4/20,0,0,0,0,0,9203
10/5/20,0,0,0,0,0,2628
10/6/20,0,0,0,0,0,3932
10/7/20,0,0,0,0,0,5086
10/8/20,0,0,0,0,0,748
10/9/20,0,0,0,0,0,1197
10/10/20,0,0,0,0,0,304
10/11/20,0,0,0,0,0,10
10/12/20,0,0,0,0,0,109
10/13/20,0,0,0,0,0,1214
10/14/20,0,0,0,0,0,53
10/15/20,0,0,0,0,0,25
10/16/20,0,0,0,0,0,179
10/17/20,0,0,0,0,0,45
10/18/20,0,0,0,0,0,4
10/19/20,0,0,0,0,0,58
10/20/20,0,0,0,0,0,514
10/21/20,0,0,0,0,0,534
10/22/20,0,0,0,0,0,28
10/23/20,0,0,0,0,0,0
10/24/20,0,0,0,0,0,0
10/25/20,0,0,0,0,0,0
10/26/20,0,0,0,0,0,0
10/27/20,0,0,0,0,0,0
10/28/20,0,0,0,0,0,460
10/29/20,0,0,0,0,0,13
10/30/20,0,0,0,0,0,84
10/31/20,0,0,0,0,0,171
11/1/20,0,0,0,0,0,1
11/2/20,0,0,0,0,0,662
11/3/20,0,0,0,0,0,429
11/4/20,0,0,0,0,0,36
11/5/20,0,0,0,0,0,199
11/6/20,0,0,0,0,0,11
11/7/20,0,0,0,0,0,0
11/8/20,0,0,0,0,0,0
11/9/20,0,0,0,0,0,62
11/10/20,0,0,0,0,0,0
11/11/20,0,0,0,0,0,0
11/12/20,0,0,0,0,0,1374
11/13/20,0,0,0,0,0,713
11/14/20,0,0,0,0,0,136
11/15/20,0,0,0,0,0,10
11/16/20,0,0,0,0,0,36
11/17/20,0,0,0,0,0,9
11/18/20,0,0,0,0,0,9
11/19/20,0,0,0,0,0,2
11/20/20,0,0,0,0,0,158
11/21/20,0,0,0,0,0,60
11/22/20,0,0,0,0,0,83
11/23/20,0,0,0,0,0,0
11/24/20,0,0,0,0,0,0
11/25/20,0,0,0,0,0,0
11/26/20,0,0,0,0,0,0
11/27/20,0,0,0,0,0,9
11/28/20,0,0,0,0,0,1380
11/29/20,0,0,0,0,0,8
11/30/20,0,0,0,0,0,154
12/1/20,0,0,0,0,0,0
12/2/20,0,0,0,0,0,0
12/3/20,0,0,0,0,0,0
12/4/20,0,0,0,0,0,36
12/5/20,0,0,0,0,0,12
12/6/20,0,0,0,0,0,6
12/7/20,0,0,0,0,0,0
12/8/20,0,0,0,0,0,20
12/9/20,0,0,0,0,0,0
12/10/20,0,0,0,0,0,0
12/11/20,0,0,0,0,0,71
12/12/20,0,0,0,0,0,6
12/13/20,0,0,0,0,0,21
12/14/20,0,0,0,0,0,346
12/15/20,0,0,0,0,0,0
12/16/20,0,0,0,0,0,0
12/17/20,0,0,0,0,0,0
12/18/20,0,0,0,0,0,0
12/19/20,0,0,0,0,0,13
12/20/20,0,0,0,0,0,3
12/21/20,0,0,0,0,0,0
12/22/20,0,0,0,0,0,0
12/23/20,0,0,0,0,0,0
12/24/20,0,0,0,0,0,0
12/25/20,0,0,0,0,0,0
12/26/20,0,0,0,0,0,9
12/27/20,0,0,0,0,0,213
12/28/20,0,0,0,0,0,0
12/29/20,0,0,0,0,0,119
12/30/20,0,0,0,0,0,0
12/31/20,0,0,0,0,0,0
1/1/21,0,0,0,0,0,0
1/2/21,0,0,0,0,0,78
1/3/21,0,0,0,0,0,2
1/4/21,0,0,0,0,0,0
1/5/21,0,0,0,0,0,18
1/6/21,0,0,0,0,0,0
1/7/21,0,0,0,0,0,0
1/8/21,0,0,0,0,0,0
1/9/21,0,0,0,0,0,201
1/10/21,0,0,0,0,0,202
1/11/21,0,0,0,0,0,66
1/12/21,0,0,0,0,0,125
1/13/21,0,0,0,0,0,0
1/14/21,0,0,0,0,0,619
1/15/21,0,0,0,0,0,623
1/16/21,0,0,0,0,0,1226
1/17/21,0,0,0,0,0,48
1/18/21,0,0,0,0,0,45
1/19/21,0,0,0,0,0,8
1/20/21,0,0,0,0,0,0
1/21/21,0,0,0,0,0,0
1/22/21,0,0,0,0,0,52
1/23/21,0,0,0,0,0,0
1/24/21,0,0,0,0,0,0
1/25/21,0,0,0,0,0,473
1/26/21,0,0,0,0,0,132
1/27/21,0,0,0,0,0,38
1/28/21,0,0,0,0,0,13
1/29/21,0,0,0,0,0,523
1/30/21,0,0,0,0,0,5708932
1/31/21,0,0,0,0,0,23921741
2/1/21,0,0,0,0,0,18665191
2/2/21,0,0,0,0,0,5559512
2/3/21,0,0,0,0,0,2682178
2/4/21,0,0,0,0,0,1804078
2/5/21,0,0,0,0,0,1298642
2/6/21,0,0,0,0,0,595379
2/7/21,0,0,0,0,0,1325910
2/8/21,0,0,0,0,0,6113372
2/9/21,0,0,0,0,0,1143430
2/10/21,0,0,0,0,0,933735
2/11/21,0,0,0,0,0,560752
2/12/21,0,0,0,0,0,388735
2/13/21,0,0,0,0,0,249169
2/14/21,0,0,0,0,0,355425
2/15/21,0,0,0,0,0,186938
2/16/21,0,0,0,0,0,253570
2/17/21,0,0,0,0,0,134903
2/18/21,0,0,0,0,0,85076
2/19/21,0,0,0,0,0,105110
2/20/21,0,0,0,0,0,259931
2/21/21,0,0,0,0,0,124684
2/22/21,0,0,0,0,0,102994
2/23/21,0,0,0,0,0,34174
2/24/21,0,0,0,0,0,54984
2/25/21,0,0,0,0,0,31669
2/26/21,0,0,0,0,0,147256
2/27/21,0,0,0,0,0,481991
2/28/21,0,0,0,0,0,3832192
3/1/21,0,0,0,0,0,991095
3/2/21,0,0,0,0,0,528326
3/3/21,0,0,0,0,0,1427316
3/4/21,0,0,0,0,0,3502637
3/5/21,0,0,0,0,0,2107990
3/6/21,0,0,0,0,0,479871
3/7/21,0,0,0,0,0,607173
3/8/21,0,0,0,0,0,545662
3/9/21,0,0,0,0,0,725264
3/10/21,0,0,0,0,0,310950
3/11/21,0,0,0,0,0,377979
3/12/21,0,0,0,0,0,475257
3/13/21,0,0,0,0,0,1283595
3/14/21,0,0,0,0,0,226958
3/15/21,0,0,0,0,0,11569431
3/16/21,0,0,0,0,0,5609681
3/17/21,0,0,0,0,0,3220467
3/18/21,0,0,0,0,0,1423541
3/19/21,0,0,0,0,0,2396974
3/20/21,0,0,0,0,0,1165956
3/21/21,0,0,0,0,0,1833105
3/22/21,0,0,0,0,0,1425544
3/23/21,0,0,0,0,0,900688
3/24/21,0,0,0,0,0,539037
3/25/21,0,0,0,0,0,602385
3/26/21,0,0,0,0,0,722333
3/27/21,0,0,0,0,0,514845
3/28/21,0,0,0,0,0,1143577
3/29/21,0,0,0,0,0,2342924
3/30/21,0,0,0,0,0,941404
3/31/21,0,0,0,0,0,1022750
4/1/21,0,0,0,0,0,1238056
4/2/21,0,0,0,0,0,1253053
4/3/21,0,0,0,0,0,812224
4/4/21,0,0,0,0,0,1264328
4/5/21,0,0,0,0,0,1161738
4/6/21,0,0,0,0,0,1294612
4/7/21,0,0,0,0,0,835694
4/8/21,0,0,0,0,0,338731
4/9/21,0,0,0,0,0,610176
4/10/21,0,0,0,0,0,1272821
4/11/21,0,0,0,0,0,6995583
4/12/21,0,0,0,0,0,17561875
4/13/21,0,0,0,0,0,13314013
4/14/21,0,0,0,0,0,6349137
4/15/21,0,0,0,0,0,14718200
4/16/21,0,0.000001,0,0.000001,0.000001,161689870
4/17/21,0.000001,0.000003,0.000001,0.000002,0.000002,460833712
4/18/21,0.000002,0.000002,0.000001,0.000002,0.000002,142743623
4/19/21,0.000002,0.000004,0.000002,0.000004,0.000004,424418998
4/20/21,0.000004,0.000004,0.000002,0.000002,0.000002,526088540
4/21/21,0.000002,0.000003,0.000001,0.000001,0.000001,290865031
4/22/21,0.000001,0.000002,0.000001,0.000002,0.000002,194322190
4/23/21,0.000002,0.000002,0.000001,0.000001,0.000001,151001682
4/24/21,0.000001,0.000002,0.000001,0.000001,0.000001,83694373
4/25/21,0.000001,0.000001,0.000001,0.000001,0.000001,90558038
4/26/21,0.000001,0.000001,0.000001,0.000001,0.000001,102581471
4/27/21,0.000001,0.000001,0.000001,0.000001,0.000001,102515602
4/28/21,0.000001,0.000002,0.000001,0.000001,0.000001,139690065
4/29/21,0.000001,0.000002,0.000001,0.000001,0.000001,96378675
4/30/21,0.000001,0.000002,0.000001,0.000002,0.000002,133732362
5/1/21,0.000002,0.000002,0.000002,0.000002,0.000002,92395224
5/2/21,0.000002,0.000002,0.000002,0.000002,0.000002,59652130
5/3/21,0.000002,0.000002,0.000002,0.000002,0.000002,40570107
5/4/21,0.000002,0.000002,0.000002,0.000002,0.000002,64001867
5/5/21,0.000002,0.000002,0.000002,0.000002,0.000002,47093779
5/6/21,0.000002,0.000002,0.000001,0.000002,0.000002,27406652
5/7/21,0.000002,0.000003,0.000001,0.000003,0.000003,367358434
5/8/21,0.000003,0.000019,0.000003,0.000016,0.000016,6118033567
5/9/21,0.000016,0.00002,0.000012,0.000016,0.000016,6171534719
5/10/21,0.000016,0.000039,0.000014,0.000035,0.000035,19546576207
5/11/21,0.000035,0.000038,0.000028,0.000031,0.000031,9743912953
5/12/21,0.00003,0.000031,0.000018,0.000018,0.000018,7320441816
5/13/21,0.000018,0.000024,0.000015,0.000021,0.000021,6879491005
5/14/21,0.000021,0.000022,0.000018,0.000019,0.000019,2909604830
5/15/21,0.000018,0.000019,0.000015,0.000016,0.000016,2607873205
5/16/21,0.000016,0.00002,0.000013,0.000018,0.000018,3225440403
