Date,Open,High,Low,Close,Adj Close,Volume
8/27/21,0.519893,0.687477,0.498175,0.686748,0.686748,573566
8/28/21,0.686766,0.691065,0.606474,0.640526,0.640526,250158
8/29/21,0.640724,0.648018,0.527709,0.548201,0.548201,188295
8/30/21,0.548234,0.915924,0.54705,0.868268,0.868268,763243
8/31/21,0.86941,1.13203,0.795093,1.034563,1.034563,1802341
9/1/21,1.033992,1.072349,0.784995,0.874777,0.874777,1888126
9/2/21,0.874508,0.975853,0.805374,0.88707,0.88707,295419
9/3/21,0.886847,1.006632,0.772323,0.990203,0.990203,382776
9/4/21,0.989919,1.058872,0.897582,0.941166,0.941166,506056
9/5/21,0.941177,0.978552,0.916228,0.978,0.978,66182
9/6/21,0.9781,1.069475,0.922232,1.046637,1.046637,259649
9/7/21,1.046343,1.048291,0.776686,0.834503,0.834503,426217
9/8/21,0.834405,0.910505,0.771061,0.880985,0.880985,370122
9/9/21,0.867219,0.903781,0.838167,0.844588,0.844588,108568
9/10/21,0.844843,1.017426,0.805102,0.886133,0.886133,666116
9/11/21,0.886265,0.93756,0.861878,0.927122,0.927122,193117
9/12/21,0.927514,0.933469,0.844328,0.873669,0.873669,189968
9/13/21,0.873158,0.884268,0.761338,0.853071,0.853071,284697
9/14/21,0.853015,0.89277,0.815584,0.878517,0.878517,173173
9/15/21,0.878854,0.887293,0.830926,0.86487,0.86487,310993
9/16/21,0.864934,0.869255,0.724552,0.803155,0.803155,239051
9/17/21,0.803245,0.822819,0.652938,0.767766,0.767766,367606
9/18/21,0.76839,0.78561,0.643208,0.711983,0.711983,196161
9/19/21,0.71232,0.712847,0.665655,0.686313,0.686313,61909
9/20/21,0.686154,0.687107,0.390617,0.597261,0.597261,516936
9/21/21,0.596788,0.62866,0.513425,0.602639,0.602639,278652
9/22/21,0.60453,0.643117,0.540218,0.610677,0.610677,222735
9/23/21,0.610573,0.779496,0.5888,0.751395,0.751395,233496
9/24/21,0.751412,0.757471,0.665472,0.715809,0.715809,127761
9/25/21,0.715758,0.733198,0.701374,0.71238,0.71238,101804
9/26/21,0.712376,0.745207,0.683513,0.734825,0.734825,223566
9/27/21,0.734372,0.803295,0.73083,0.758002,0.758002,238292
9/28/21,0.757999,0.777075,0.705835,0.711121,0.711121,133104
9/29/21,0.711928,0.777444,0.709003,0.741437,0.741437,147902
9/30/21,0.741348,0.769739,0.731987,0.758372,0.758372,108735
10/1/21,0.758582,0.839431,0.737719,0.834951,0.834951,131340
10/2/21,0.834626,0.835822,0.798105,0.801635,0.801635,119713
10/3/21,0.801208,0.805983,0.722623,0.746518,0.746518,114018
10/4/21,0.746618,0.748945,0.666968,0.737046,0.737046,142008
10/5/21,0.737083,0.832937,0.674585,0.830469,0.830469,339172
10/6/21,0.830832,0.843421,0.644955,0.773996,0.773996,234139
10/7/21,0.773584,0.773584,0.689687,0.725464,0.725464,106791
10/8/21,0.725449,0.748634,0.710922,0.724069,0.724069,60055
10/9/21,0.724253,0.9306,0.721131,0.82277,0.82277,272026
10/10/21,0.822898,0.89193,0.768389,0.785541,0.785541,163252
10/11/21,0.784998,0.827941,0.747041,0.781531,0.781531,153889
10/12/21,0.781709,0.791011,0.723527,0.752912,0.752912,53891
10/13/21,0.75262,0.775373,0.718312,0.752979,0.752979,80392
10/14/21,0.75284,0.770746,0.690819,0.696618,0.696618,112007
10/15/21,0.696425,0.794948,0.694609,0.751013,0.751013,179246
10/16/21,0.750673,0.844199,0.736728,0.789881,0.789881,553665
10/17/21,0.78996,0.842203,0.715643,0.764882,0.764882,303745
10/18/21,0.764699,0.803741,0.73528,0.765021,0.765021,206167
10/19/21,0.765023,0.808952,0.634915,0.705716,0.705716,639782
10/20/21,0.705282,0.885734,0.685174,0.841373,0.841373,667305
10/21/21,0.841183,0.841374,0.70554,0.738056,0.738056,299719
10/22/21,0.737878,0.775675,0.692003,0.746942,0.746942,194663
